Student_ID,Attendance,Study_Hours,Previous_GPA,Assignment_Score,Internal_Score,Previous_Failures,Participation,Performance
ST001,78.7,5.6,5.02,71.4,60.9,1,Low,Low
ST002,62.5,3.2,6.27,78.6,83.7,4,High,Low
ST003,84.0,7.3,7.63,67.4,72.5,0,Low,High
ST004,86.3,3.1,6.85,65.9,56.8,3,Medium,Low
ST005,51.6,3.1,6.02,73.4,54.1,1,Medium,Low
ST006,59.4,5.7,5.99,43.2,41.6,2,Low,Low
ST007,76.5,6.2,5.93,79.2,72.7,0,High,High
ST008,71.2,5.5,5.68,72.0,62.3,3,Medium,Low
ST009,74.8,0.8,10.0,72.6,30.0,0,High,High
ST010,64.8,5.7,7.45,86.4,59.4,4,Low,Low
ST011,85.6,2.2,8.33,42.7,53.6,2,High,Low
ST012,84.3,5.0,6.27,42.4,93.2,0,High,High
ST013,75.8,1.4,6.72,76.1,40.8,0,Medium,Low
ST014,88.5,5.5,5.93,71.9,44.9,1,Low,Low
ST015,80.6,2.7,3.02,74.6,85.8,0,Medium,Low
ST016,64.7,1.7,4.93,65.1,89.7,1,Medium,Low
ST017,79.4,6.1,4.28,82.0,56.1,3,High,Low
ST018,63.5,5.0,3.63,86.0,57.9,0,Medium,Low
ST019,85.5,3.1,5.21,79.3,77.9,0,Low,High
ST020,74.4,7.7,8.99,68.1,30.8,0,Low,High
ST021,72.8,3.5,6.93,,38.2,0,Medium,Average
ST022,66.8,4.6,8.94,83.5,63.5,0,High,High
ST023,89.7,5.1,7.62,90.3,92.8,0,Low,High
ST024,73.1,3.1,8.17,81.7,61.0,2,Medium,Low
ST025,69.9,5.5,5.65,58.8,69.6,0,High,Average
ST026,70.8,3.3,7.79,82.1,86.1,3,Low,Low
ST027,81.4,3.6,8.09,84.9,100.0,3,Low,High
ST028,79.4,7.5,6.14,95.4,58.8,3,Medium,Low
ST029,80.0,2.2,7.84,58.9,67.7,1,Medium,Average
ST030,80.2,0.0,7.85,68.6,97.2,0,Low,Average
ST031,100.0,8.0,6.18,83.2,43.6,4,High,Low
ST032,70.1,10.1,5.32,72.9,84.4,0,Medium,High
ST033,68.9,3.6,5.22,55.2,51.7,1,High,Average
ST034,65.2,0.2,7.13,78.2,69.6,1,High,Low
ST035,82.4,3.8,7.49,80.7,64.1,2,High,Average
ST036,88.5,3.9,5.81,73.3,52.7,1,Medium,Low
ST037,73.6,4.1,7.04,75.3,52.3,3,Low,Low
ST038,64.9,2.1,7.86,68.1,72.4,4,Medium,Low
ST039,65.1,5.8,7.93,94.2,83.9,1,Low,High
ST040,82.8,5.7,9.33,58.5,65.9,3,Medium,Average
ST041,83.9,1.2,8.92,63.2,69.1,0,Low,High
ST042,81.5,6.0,5.5,72.2,77.1,4,Medium,Low
ST043,,9.0,9.53,85.2,52.5,0,Low,High
ST044,77.8,4.9,6.2,49.5,79.8,3,Low,Low
ST045,76.4,3.8,8.57,52.3,81.1,1,Low,High
ST046,77.6,4.2,7.1,41.4,100.0,4,Medium,Low
ST047,85.5,5.9,6.38,72.5,62.0,0,High,High
ST048,77.7,0.7,4.29,55.2,60.7,1,Low,Low
ST049,83.1,4.9,6.74,66.2,80.3,4,High,Low
ST050,75.8,3.6,4.66,81.9,81.1,0,High,Average
ST051,78.5,8.6,8.45,62.4,59.4,0,Medium,High
ST052,82.6,4.1,9.28,75.5,61.5,0,Medium,High
ST053,57.5,8.2,5.8,67.5,76.7,0,Medium,High
ST054,71.2,2.1,7.45,82.1,54.8,1,Low,Average
ST055,69.4,5.8,5.91,79.1,61.4,1,Medium,Average
ST056,67.3,5.2,6.06,61.6,69.4,0,Low,Average
ST057,71.7,2.6,8.16,69.5,83.9,0,High,High
ST058,92.9,4.9,6.94,87.7,58.3,0,High,High
ST059,64.6,7.2,9.61,77.9,38.5,4,High,Average
ST060,86.6,3.8,6.28,51.0,37.3,4,Medium,Low
ST061,54.8,0.8,8.5,81.8,47.8,0,Medium,High
ST062,71.0,4.5,7.15,55.7,47.0,0,High,High
ST063,77.0,2.5,8.19,93.2,65.5,0,Low,High
ST064,82.0,3.7,6.33,87.4,49.0,4,Low,Low
ST065,83.5,4.3,6.93,76.3,56.8,2,Medium,Average
